source_id,source_name,source_type,country_scope,url,location_hint,keywords,active,notes
wwr_all,We Work Remotely - All Jobs,rss,Global remote,https://weworkremotely.com/remote-jobs.rss,Remote,"ai|artificial intelligence|machine learning|llm|automation|workflow",yes,"Official public RSS; retain source attribution and original links."
wwr_programming,We Work Remotely - Programming,rss,Global remote,https://weworkremotely.com/categories/remote-programming-jobs.rss,Remote,"ai|artificial intelligence|machine learning|llm|automation|workflow",yes,"Official public category RSS; retain source attribution and original links."
remotive_ai,Remotive - Artificial Intelligence,rss,Global remote,https://remotive.com/remote-jobs/feed/artificial-intelligence,Remote,"ai|artificial intelligence|machine learning|llm|generative ai|automation",yes,"Official public category RSS; retain source attribution and do not republish to third-party job boards."
remotive_data,Remotive - Data and Analytics,rss,Global remote,https://remotive.com/remote-jobs/feed/data,Remote,"ai|artificial intelligence|machine learning|llm|automation|data engineer",yes,"Official public category RSS; retain source attribution and do not republish to third-party job boards."
jobsdb_ai_project,JobsDB Hong Kong - AI Project,html_search,Hong Kong,https://hk.jobsdb.com/zh/ai-project-jobs/in-Hong-Kong-SAR,Hong Kong,"ai|artificial intelligence|automation|llm|workflow",yes,"Public search page only; no official RSS confirmed. The crawler fetches one result page and does not open individual adverts."
jobsdb_ai,JobsDB Hong Kong - AI,html_search,Hong Kong,https://hk.jobsdb.com/zh/ai-jobs/in-Hong-Kong-SAR,Hong Kong,"ai|artificial intelligence|machine learning|llm|automation",yes,"Public search page only; no official RSS confirmed."
jobsdb_automation,JobsDB Hong Kong - Automation,html_search,Hong Kong,https://hk.jobsdb.com/automation-jobs/in-Hong-Kong-SAR,Hong Kong,"automation|rpa|workflow|ai|artificial intelligence",yes,"Public search page only; no official RSS confirmed."
indeed_ai_automation,Indeed Hong Kong - AI Automation,html_search,Hong Kong,https://hk.indeed.com/q-ai-automation-jobs.html,Hong Kong,"ai|artificial intelligence|machine learning|llm|automation",yes,"Public search page only; access may vary by anti-bot controls. The crawler will log errors rather than bypass controls."
indeed_ml,Indeed Hong Kong - Machine Learning,html_search,Hong Kong,https://hk.indeed.com/q-machine-learning-jobs.html,Hong Kong,"machine learning|ai|artificial intelligence|llm|automation",yes,"Public search page only; access may vary by anti-bot controls."
linkedin_ai_automation,LinkedIn Jobs Hong Kong - AI Automation,html_search,Hong Kong,https://hk.linkedin.com/jobs/search?keywords=AI%20automation&location=Hong%20Kong%20SAR,Hong Kong,"ai|artificial intelligence|machine learning|llm|automation",yes,"Public search page only. The crawler collects only publicly visible results and never signs in."
linkedin_ai_engineer,LinkedIn Jobs Hong Kong - AI Engineer,html_search,Hong Kong,https://hk.linkedin.com/jobs/search?keywords=AI%20Engineer&location=Hong%20Kong%20SAR,Hong Kong,"ai|artificial intelligence|machine learning|llm|automation",yes,"Public search page only. The crawler collects only publicly visible results and never signs in."
